date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2016-03-01,Monthly,2.0,0.0,0.0,977.9500000000002,2399.999999999999,0.0,0.0,1800.0,0.0,5179.949999999999
2016-04-01,Monthly,533.75,1826.7242000000003,1500.0,2095.85,0.0,0.0,0.0,0.0,90.68,6047.004200000001
2016-05-01,Monthly,0.0,500.0,0.0,7346.6320547899995,99.717,30.0,0.0,0.0,59.5633,8035.912354789999
2016-06-01,Monthly,485.4083723,0.0,1450.0,2848.68435616,1250.0,0.0,0.0,0.0,0.0,6034.09272846
2016-07-01,Monthly,36.0,1.0,0.0,1241.812,6300.0,100.0,0.0,840.0,0.0,8518.812
2016-08-01,Monthly,23.0,3599.8629,5540.0,3467.2214160000003,99.903,70.0,0.0,0.0,0.0,12799.987316
2016-09-01,Monthly,0.0,0.0,20.0,5338.46,400.0,0.0,0.0,495.0,0.0,6253.46
2016-10-01,Monthly,1.0,100.0,0.0,6280.0,199.571,700.0,0.0,1000.0,0.0,8280.571
2016-11-01,Monthly,0.0,0.0,100.0,4095.9826000000003,105.0,0.0,0.0,2450.0,0.0,6750.9826
2016-12-01,Monthly,135.5,386.898141,200.0,3020.1132819999993,0.0,222.83933500000003,0.0,250.0,0.0,4215.350758
2017-01-01,Annual,151.0,12168.99682958,14361.955546,76339.96944569999,11407.5293,1180.0,0.0,5004.8628420000005,1389.40325,122003.71721327999
2017-01-01,Monthly,1.0,94.12275381,0.0,208.0,1000.0,280.0,0.0,0.0,0.0,1583.12275381
2017-02-01,Monthly,0.0,12.65092705,0.0,1595.0,3000.0,0.0,0.0,302.5,0.0,4910.15092705
2017-03-01,Monthly,73.0,215.73889341,4422.433496,14480.872192,2230.0,0.0,0.0,9.0,7.8,21438.84458141
2017-04-01,Monthly,21.5,459.08271592,0.0,6293.1,119.418,0.0,0.0,902.75,7.0,7802.85071592
2017-05-01,Monthly,1.5,209.04325937,2490.25,10035.5,398.478,100.0,0.0,112.612842,0.0,13347.384101369998
2017-06-01,Monthly,2.0,1013.37114588,2100.0,1359.3987,0.0,700.0,0.0,6.5,0.0,5181.26984588
2017-07-01,Monthly,1.0,9.1975625,1265.0,1475.4984,0.0,0.0,0.0,8.5,74.60325,2833.7992125
2017-08-01,Monthly,1.0,718.0979413700001,2000.0,1764.69693,1954.854,0.0,0.0,2223.5,0.0,8662.14887137
2017-09-01,Monthly,20.0,917.755343,0.0,14781.452136990001,1405.0,0.0,0.0,502.5,0.0,17626.70747999
2017-10-01,Monthly,0.0,6819.70319896,1084.27205,2687.97808671,1099.855,0.0,0.0,737.0,1300.0,13728.80833567
2017-11-01,Monthly,0.0,1026.30092006,0.0,10790.1355,199.9243,0.0,0.0,0.0,0.0,12016.36072006
2017-12-01,Monthly,30.0,673.9321682500001,1000.0,10868.3375,0.0,100.0,0.0,200.0,0.0,12872.269668249999
2018-01-01,Annual,88.6,5949.060477880001,13608.108537,73820.72619377999,4347.457,1820.0,0.0,2905.0,411.0,102949.95220866
2018-01-01,Monthly,0.0,557.454158,5706.7858,2633.0,625.0,0.0,0.0,0.0,5.0,9527.239958
2018-02-01,Monthly,0.0,141.30924120999998,0.0,5590.5,1200.0,0.0,0.0,0.0,0.0,6931.8092412099995
2018-03-01,Monthly,0.0,2209.17805097,30.0,10893.52,0.0,0.0,0.0,0.0,0.0,13132.69805097
2018-04-01,Monthly,78.0,405.74837646,220.322737,8616.95,1328.0,1100.0,0.0,50.0,0.0,11799.021113460001
2018-05-01,Monthly,0.0,123.58244395,0.0,5820.5,24.89,0.0,0.0,900.0,0.0,6868.9724439500005
2018-06-01,Monthly,0.0,23.274220309999997,2100.0,3206.1054383600003,0.0,390.0,0.0,0.0,400.0,6119.379658670001
2018-07-01,Monthly,5.600000000000001,517.38455022,0.0,4319.730692,99.906,0.0,0.0,465.0,2.0,5409.62124222
2018-08-01,Monthly,0.0,257.21875487,4000.0,3492.1479999999997,374.66099999999994,0.0,0.0,250.0,3.0,8377.02775487
2018-09-01,Monthly,0.0,27.23048189,0.0,6594.0,215.0,200.0,0.0,200.0,1.0,7237.23048189
2018-10-01,Monthly,5.0,700.0,0.0,11154.641718,300.0,0.0,0.0,800.0,0.0,12959.641718
2018-11-01,Monthly,0.0,740.0,1500.0,6061.775,110.0,130.0,0.0,240.0,0.0,8781.775
