date,frequency,sector,agriculture_forestry_and_fishing,mining_and_quarrying,manufacturing,electricity_gas_steam_and_air_conditioning_supply,water_supply_sewerage_waste_management_and_remediation_activities,construction,wholesale_retail_motor_trade_total,wholesale_trade_except_of_motor_vehicles_and_motorcycles,retail_trade_except_of_motor_vehicles_and_motorcycles,wholesale_retail_motor_trade_others,accommodation_and_food_service_activities,transportation_storage,information_communication,financial_and_insurance_takaful_activities,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education_health_and_others,other_sector,total_outstanding_loan_financing
2022-10-01,Monthly,Bank-bank pelaburan / Investment banks,1.3358412800000001,55.462566409999994,45.58926089,0.0,0.2953084,35.0674234,18.49290875,15.765477340000002,2.72743141,0.0,54.19888204000001,2.49749207,25.767730660000005,414.30170713,202.32652546999998,328.64836908,7.11769892,182.80327764000003,42.10250271999962,1416.0074948599997
2022-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2835.402805650001,70.51720940999999,2102.1543994199997,101.06668731,53.7687716,5339.01977942,3445.4706374800003,1718.2885242100003,1244.0956964300003,483.08641683999986,1562.8663560600005,848.8616936999999,387.05157855,259.97199286,731.13630258,398.3763953999999,354.21135596,1255.63615127,211.53687452001031,19957.048991190008
2022-10-01,Monthly,Jumlah / Total,12886.30398211,1485.2272589599997,52048.34703064002,3206.9922439800007,1943.4907129400003,45837.492103,102418.25849703002,60111.39692488002,25271.09377544001,17035.767796709988,11352.436351429998,14018.688966560001,4956.724518409999,7514.120347319999,57838.01996075999,16460.642592230004,6313.255591409999,11434.04128062,1004.5486940193805,350718.5901314193
2022-11-01,Monthly,Bank-bank perdagangan / Commercial banks,5524.21378749,865.8726802099998,33573.72592949001,1199.68366709,1226.4747981500002,27797.286850110002,67785.98994865999,41176.617791360004,15446.77493027,11162.597227029983,7998.639577919999,8280.96441464,2794.4913855600003,4758.963468279999,40033.77923817999,8828.338129439999,3603.09031876,5630.58355042,547.7463701495144,220449.84411454952
2022-11-01,Monthly,Bank-bank Islam / Islamic banks,4525.36214866,519.2974810300001,15873.4890639,1687.8775854800003,699.7818291500005,12919.503111450002,32006.714945450007,17569.996139860006,8857.2183781,5579.500427490002,1771.7698101800001,4899.51978019,1703.10467901,1980.5539444399997,16549.806852759997,7012.35906532,2391.49768857,4435.809891200001,258.98404801001016,109235.43192480002
2022-11-01,Monthly,Bank-bank pelaburan / Investment banks,2.7892306399999995,52.609409299999996,51.76740129,0.0,0.29529739,35.038461659999996,15.39618436,15.3049525,0.09123186,0.0,47.033544739999996,2.5087819700000002,25.56049368,409.92864980999997,200.19120227,330.27098220000005,7.08538695,182.78091951000002,42.05715460000033,1405.3131003700003
2022-11-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2889.80111537,71.72484483,2100.5141011099995,100.17066737,54.75152453000001,5543.32152999,3497.45681271,1737.8043384699995,1264.7434512500006,494.90902299000027,1618.8156610900005,847.75672373,444.1287978000001,258.44782234,724.26494386,394.84687399,356.8034904,1248.8672277,208.44033791997572,20360.112474739977
2022-11-01,Monthly,Jumlah / Total,12942.166282159998,1509.5044153699998,51599.49649579,2987.7319199399994,1981.3034492200004,46295.149953210006,103305.55789118001,60499.72322219001,25568.82799148,17237.00667751,11436.25859393,14030.749700530003,4967.285356049999,7407.89388487,57508.04223706998,16565.815050949997,6358.476884680001,11498.04158883,1057.2279106795322,351450.7016144595
2022-12-01,Monthly,Bank-bank perdagangan / Commercial banks,5430.972296759999,847.6645467899999,33747.678465720004,1223.7124090700001,1238.2266827399997,28021.89054301001,68223.85866097003,41509.43266731003,15392.341819499998,11322.084174160002,7966.69211368,8539.59074875,2749.97162974,4906.701805099999,40413.847707180015,8911.180879619998,3583.1521575599995,5576.861440920002,539.5689161503105,221921.57100376036
2022-12-01,Monthly,Bank-bank Islam / Islamic banks,4605.262533509999,524.7811598900001,16088.522867619997,1774.8751761199999,746.77129078,12964.32031606,32737.19126637999,18075.75521931999,9023.033068460001,5638.402978599996,1797.5171884899999,5055.070471220001,1700.9596040699998,2000.921594330001,16855.30976285,7104.651855280001,2428.0721290200004,4597.27081281,255.60870603995863,111237.10673446995
