date,frequency,bank_negara_malaysia_statement_of_capital_and_liabilities,paid_up_capital,reserves,currency_in_circulation,financial_institutions,federal_government,deposits_others,bank_negara_bills_and_bonds,allocation_of_special_drawing_rights,other_liabilities,total_liabilities
2011-01-01,Monthly,,100,,63463.6387,168654.983837,12745.509825,3250.243121,99135.230427,6396.555926,30335.873901,399501.745518
2011-01-01,Annual,,100,,61874.099518,214905.708306,10817.830921,13066.091926,107983.490852,6548.320169,25844.3244,472969.546576
2011-02-01,Monthly,,100,,57988.068202,174908.040139,20464.334619,3188.283209,99523.06298,6396.555926,32168.66996,410172.760764
2011-03-01,Monthly,,100,,55956.590074,184434.763609,23728.544443,3181.629984,102241.569305,6458.424691,25608.824674,420622.115073
2011-04-01,Monthly,,100,,57889.758567,227288.567224,20050.438742,9036.074669,116788.548137,6458.424691,25337.48965,481901.994526
2011-05-01,Monthly,,100,,57435.077314,225032.710439,25190.847587,9236.908747,109456.449983,6458.424691,34763.062549,486700.082685
2011-06-01,Monthly,,100,,56720.688164,231750.577794,26874.17554,9097.512729,109660.540285,6502.96051,28738.578183,491998.392624
2011-07-01,Monthly,,100,,58712.063126,224327.117453,33523.945249,11350.665506,107587.292092,6502.96051,26250.275528,490881.285171
2011-08-01,Monthly,,100,,66114.597647,210205.020198,27310.456108,12863.235153,112815.320202,6502.96051,32871.858796,491569.471277
2011-09-01,Monthly,,100,,59280.191232,202973.579378,14511.645821,12871.65253,128822.075002,6742.607746,27669.058223,487045.189425
2011-10-01,Monthly,,100,,59617.407876,194662.560611,18782.801115,12909.823464,121862.27736,6742.607746,31232.462831,479913.411955
2011-11-01,Monthly,,100,,59464.917067,197654.657808,25452.735013,13013.395016,113915.956612,6742.607746,29819.359933,480043.939591
2011-12-01,Monthly,,100,,61874.099518,214905.708306,10817.830921,13066.091926,107983.490852,6548.320169,25844.3244,472969.546576
2012-01-01,Annual,,100,,67124.370608,180812.181557,14708.467629,4083.301315,153129.55396,6326.74222,21711.608582,476331.01878
2012-01-01,Monthly,,100,,66845.762884,215333.72715,8259.835627,13074.758737,103631.604118,6548.320169,32414.316338,475410.05672
2012-02-01,Monthly,,100,,61570.931512,201211.278437,7645.000547,13130.209481,122404.152374,6548.320169,36626.868127,478589.934876
2012-03-01,Monthly,,100,,61671.74727,185598.478526,11381.127694,13146.982305,141153.095663,6363.438098,28533.273814,471876.225199
2012-04-01,Monthly,,100,,63228.38938,197894.953071,9410.040626,10020.915222,139078.748422,6363.438098,21785.63754,471833.09475
2012-05-01,Monthly,,100,,62602.203956,188710.747782,15503.496111,10235.995962,143401.7833,6363.438098,22009.088983,472109.828327
2012-06-01,Monthly,,100,,63431.63431,189041.413605,14669.494076,7664.0437,140933.300186,6459.162378,25299.832328,480132.376258
2012-07-01,Monthly,,100,,64943.784791,173772.437297,21066.008082,4358.122461,145641.967399,6459.162378,28819.776478,478115.464325
2012-08-01,Monthly,,100,,66096.485389,182238.554439,14864.715767,3947.875931,145698.019889,6459.162378,27185.887342,479719.129748
2012-09-01,Monthly,,100,,64367.987754,172970.006248,15859.646378,3940.066792,157631.21335,6377.752991,26811.764491,472177.782161
2012-10-01,Monthly,,100,,63844.623598,171767.058569,16164.523857,4204.001065,162639.963043,6377.752991,24168.265265,473254.720083
2012-11-01,Monthly,,100,,63999.014354,167765.190429,19648.587262,4217.59793,165701.748234,6377.752991,22708.461352,474590.637281
2012-12-01,Monthly,,100,,67124.370608,180812.181557,14708.467629,4083.301315,153129.55396,6326.74222,21711.608582,476331.01878
2013-01-01,Annual,,100,54584.026367,73030.918741,198707.47632,7106.526875,2892.230514,105897.16626,6790.312388,25159.228604,474267.886069
2013-01-01,Monthly,,100,,73018.975513,186961.098582,7087.740817,4257.642451,148418.448639,6326.74222,27281.181801,478065.961429
2013-02-01,Monthly,,100,,71074.328606,201529.48595,5876.565706,4253.803115,138414.104357,6326.74222,26950.435465,478953.426821
2013-03-01,Monthly,,100,28359.22821,70373.821214,209414.044451,5411.212756,4223.353335,135213.970708,6249.16665,19160.73718,478505.534504
2013-04-01,Monthly,,100,29279.919731,70691.01099,215372.153656,8903.191475,4205.332705,127195.770077,6249.16665,18314.668588,480311.213872
2013-05-01,Monthly,,100,29668.640994,70208.978899,220547.567279,4098.903632,4383.366685,129189.143693,6249.16665,21340.683957,485786.451789
2013-06-01,Monthly,,100,32575.924456,69799.938105,214132.843482,10110.4088,4687.612121,121461.837328,6426.922236,20150.574071,479446.060599
2013-07-01,Monthly,,100,33917.457064,72837.083278,211070.61895,11401.782407,3756.614512,115514.20578,6426.922236,22207.408844,477232.093071
2013-08-01,Monthly,,100,33657.297237,71137.235483,194879.560734,11669.478081,3815.462922,110215.39815,6426.922236,22302.92683,454204.281673
2013-09-01,Monthly,,100,52049.647219,70584.859643,201381.505931,10101.917999,3358.817767,106316.882836,6731.168217,21637.706427,472262.506039
2013-10-01,Monthly,,100,53671.120544,69167.954764,201457.391448,13571.046678,3036.321766,106324.213204,6731.168217,18516.978372,472576.194992
2013-11-01,Monthly,,100,53948.869609,70758.739305,198011.385388,15150.405244,2837.23593,105854.039848,6731.168217,20078.054613,473469.898154
2013-12-01,Monthly,,100,54584.026367,73030.918741,198707.47632,7106.526875,2892.230514,105897.16626,6790.312388,25159.228604,474267.886069
2014-01-01,Annual,,100,71150.33490799999,77734.642895,141160.58766,5263.624767,2033.678,105476.712764,6819.246401,17877.650314639995,427616.508253
2014-01-01,Monthly,,100,55389.974328,81897.429568,180654.645853,11512.911397,3075.154049,102658.544876,6790.312388,21613.823105,463692.79556400003
2014-02-01,Monthly,,100,56850.215257,76462.584616,175531.622386,14098.922859,2878.177684,98385.707888,6790.312388,22818.918737,453916.461815
2014-03-01,Monthly,,100,57039.473532,75533.41686,174828.411907,12224.50784,2433.705011,98109.381925,6783.40667,23661.397208,450713.700953
2014-04-01,Monthly,,100,58639.061437,74691.037094,183156.4373,3020.732346,2470.574862,97866.530067,6783.40667,26770.626121,453498.405897
2014-05-01,Monthly,,100,59979.891605,74622.833222,173743.417641,13333.154977,2649.354133,96023.451089,6783.40667,28667.496685,455903.006022
2014-06-01,Monthly,,100,56831.567382,75141.865127,181126.615299,13949.750929,2477.94676,87747.288529,6671.653857,29272.251028,453318.938911
2014-07-01,Monthly,,100,57153.114261,79353.415377,186124.304653,10003.159309,2211.477884,89425.048056,6671.653857,23428.069766,454470.243163
2014-08-01,Monthly,,100,58948.093504,75859.59905,173804.411199,10630.587257,2220.701368,101958.574192,6671.653857,27466.109371,457659.729806
2014-09-01,Monthly,,100,52910.022494,74632.993058,172884.018654,10920.269412,2109.600657,106804.618179,6554.095126,26213.682955,453129.300535
2014-10-01,Monthly,,100,53077.802892,74330.993474,155112.222741,13913.752251,2016.093356,118311.517448,6554.095126,26794.840928,450211.318216
2014-11-01,Monthly,,100,54505.574942,75625.356015,144082.066675,12481.276624,1954.416601,121019.577243,6554.095126,19444.29188,435766.655106
2014-12-01,Monthly,,100,71150.33490799999,77734.642895,141160.58766,5263.624767,2033.678,105476.712764,6819.246401,17877.650314639995,427616.508253
