date,frequency,m3,m2,m1,currency_in_circulation,demand_deposits,narrow_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits,deposits_placed_other_banking_inst
2016-12-01,Monthly,1655224.991408,1647269.478236,380860.63263999997,85682.391189,295178.241451,1266408.845596,145128.765913,766319.2614,10515.366352000001,0.0,139100.02914,205345.42279100002,7955.513171999948
2017-01-01,Monthly,1670516.2235230699,1661936.6825840701,387127.66383307,92557.67649707,294569.987336,1274809.018751,149212.68324900002,756206.313041,10380.956129,0.0,147776.860071,211232.20626099998,8579.540938999737
2017-02-01,Monthly,1675194.6709240999,1668004.6820091,387020.2214671,88516.19263610001,298504.02883100003,1280984.460542,150940.59949999998,755486.5783170001,9529.23373,0.0,145458.12250799997,219569.92648699996,7189.988914999878
2017-03-01,Monthly,1688301.1061160099,1680740.38714001,386806.45089101,88809.21889101,297997.232,1293933.936249,151903.484781,765676.810675,10071.730654,0.0,144472.75041900002,221809.15972000003,7560.718975999858
2017-04-01,Monthly,1685054.63737598,1677515.4855219796,387031.52353498,89903.10342597999,297128.42010900006,1290483.9619869997,150238.11863,774208.5135519999,9400.009268000002,0.0,146432.36409599998,210204.95644099996,7539.151854000287
2017-05-01,Monthly,1698856.22484555,1689273.6325305495,391248.25742655003,88881.08657755001,302367.17084900005,1298025.3751039996,150063.46523200002,777678.8330229998,9286.877768000002,0.0,146201.052808,214795.146273,9582.592315000482
2017-06-01,Monthly,1693309.8436439498,1683468.2741319502,397698.44123895,91879.41613395,305819.025105,1285769.8328930002,151814.80205099998,782733.5843310002,7322.31781,0.0,140514.313212,203384.81548899994,9841.569511999609
2017-07-01,Monthly,1688904.87805021,1680219.8528392098,392766.33218921,89955.69022521001,302810.641964,1287453.5206499998,150073.00452800002,786238.181308,7217.090459,19.268328,140811.77706899997,203094.19895800002,8685.025211000117
2017-08-01,Monthly,1698970.3431681602,1690890.9177501602,393776.08682016004,92051.02201616,301725.064804,1297114.8309300002,151099.30281,793552.145578,7605.940103000002,9.185149,137837.164965,207011.09232499998,8079.42541799997
2017-09-01,Monthly,1715771.0848531197,1708198.0055221203,397981.82225312,90912.86855311999,307068.9537,1310216.1832690001,150861.238741,802148.640206,8361.058116000002,149.820372,142227.011844,206468.41398999997,7573.079330999404
2017-10-01,Monthly,1727341.8780788903,1719551.52772489,403112.55674788996,90035.43548289,313077.12126499997,1316438.9709770002,150260.72998299997,810123.0210180001,10351.322831,19.311865,144724.333223,200960.25205699998,7790.3503540002275
2017-11-01,Monthly,1732984.3070308699,1725763.8686948698,404896.81372086995,91066.74459286999,313830.06912799994,1320867.054974,150986.509806,815292.9309459999,8875.335027000003,18.715456,142169.614825,203523.948914,7220.438336000079
2017-12-01,Monthly,1736444.68081854,1730466.08878454,422820.02193054,92607.59445254,330212.427478,1307646.066854,150505.206681,816631.692089,10829.839753000002,101.553471,135138.519696,194439.25516400003,5978.592033999972
2018-01-01,Monthly,1750433.71972017,1743097.4428011703,421396.02113617,93342.41230117,328053.608835,1321701.4216650003,152265.65229,828200.275536,9368.646153,101.825624,134747.563785,197017.458277,7336.276918999618
2018-02-01,Monthly,1759285.5490387902,1753500.6240057903,420009.53905779,96159.84057778999,323849.69848,1333491.0849480003,155151.388692,833113.4696530002,8750.32483,19.39926,133385.735018,203070.767495,5784.925032999832
2018-03-01,Monthly,1791436.16468931,1784810.51638831,417232.82585131,96125.89147931,321106.934372,1367577.6905369998,155307.07319099997,843208.870113,7925.495788,0.0,140511.02178699998,220625.22965799997,6625.648301000008
2018-04-01,Monthly,1814046.8904720098,1806747.89254701,415977.75200801,97279.67535200999,318698.076656,1390770.140539,155893.039698,865489.347815,8202.081279,19.514509,138017.52897300004,223148.628265,7298.9979249998
2018-05-01,Monthly,1815985.66193231,1805772.3951853102,417389.05817131,97691.74431831,319697.313853,1388383.3370140002,156028.927625,861075.5009330001,7982.992206000001,9.494536,141660.405297,221626.01641699995,10213.266746999929
2018-06-01,Monthly,1818539.26863052,1808298.7047705199,416501.38725752,96994.22033652001,319507.166921,1391797.317513,156474.476508,865738.364362,7086.696354,0.0,141229.221792,221268.558497,10240.563860000111
2018-07-01,Monthly,1823494.63892449,1814049.8393684898,411224.85446949,93869.09467449001,317355.759795,1402824.9848989998,155692.961672,872724.029457,7971.850114999999,0.0,138200.785456,228235.35819899998,9444.799556000158
2018-08-01,Monthly,1831254.0664328996,1822041.9879549,411016.41809189995,94564.99601989999,316451.422072,1411025.569863,155899.036718,884418.8439470001,8017.354937000001,0.0,138066.86269799998,224623.471563,9212.078477999661
2018-09-01,Monthly,1845007.23596249,1835249.5293784903,414530.23466849,93835.44134049,320694.793328,1420719.2947100003,155976.43625199998,890608.7159200001,8278.657135000001,0.0,145015.887767,220839.59763600002,9757.706583999796
2018-10-01,Monthly,1871644.7424249402,1862633.78096794,415920.26524394006,92804.41024494,323115.85499900003,1446713.515724,156551.68717500003,898898.3773180001,8486.688148,0.0,153217.139227,229559.62385599996,9010.961457000114
2018-11-01,Monthly,1882099.7114003303,1872047.1384603297,418500.7458843299,93169.91543833,325330.8304459999,1453546.392576,157152.818854,904171.7504309999,10962.231624,0.0,153836.757033,227422.83463399997,10052.572940000566
2018-12-01,Monthly,1894517.21814177,1885094.1736267698,427720.52170877,94532.89886477,333187.622844,1457373.6519179998,157386.533962,909736.7616609999,13930.068618000001,0.0,153060.30850400002,223259.97917299997,9423.04451500019
2019-01-01,Monthly,1888709.0169753402,1879010.9377553398,428230.97069633997,101254.10529334,326976.865403,1450779.967059,162067.753764,914908.928946,12375.309383,0.0,145887.141748,215540.833218,9698.079220000422
2019-02-01,Monthly,1888563.96365019,1878680.97331319,422365.08559418994,97629.15581319,324735.92978099996,1456315.8877190002,162468.80690599998,920006.6183750001,13423.152456000002,62.360937,146574.322678,213780.62636700005,9882.990336999996
2019-03-01,Monthly,1898874.0701035801,1889751.0641605803,427697.18064758007,97355.95367558,330341.22697200003,1462053.8835130003,161720.400345,924836.4571090002,11776.413712,62.360937,142307.29528400002,221350.956126,9123.005942999851
2019-04-01,Monthly,1909451.74930052,1900579.9648255198,425324.28300852,96853.41220152001,328470.870807,1475255.6818169998,164219.73765700002,932233.9511709999,12860.495626,59.381143,143591.637225,222290.478995,8871.78447500011
2019-05-01,Monthly,1917074.12862908,1907296.0088750797,434537.35263408005,100980.86252208,333556.490112,1472758.6562409997,166481.726913,924938.535984,13015.885534,49.379862,146496.74799799998,221776.37995,9778.119754000334
2019-06-01,Monthly,1912073.7883280301,1899144.34937603,431751.02557103004,98900.70079803,332850.32477300003,1467393.323805,164853.931364,926374.539559,12719.260768000002,49.379862,144203.047353,219193.16489900002,12929.438952000113
2019-07-01,Monthly,1913308.4505295502,1899917.3733615498,429595.3037675499,97507.73713154999,332087.56663599994,1470322.069594,165834.463781,919042.0456400001,11781.538881,49.379862,153749.91611700004,219864.72531299997,13391.077168000396
2019-08-01,Monthly,1908652.52297065,1895997.8502836502,426560.71623265004,98747.42818965,327813.28804300004,1469437.1340510002,167131.99888600002,925084.4122799999,10398.817801000001,50.152076,146362.253972,220409.499036,12654.672686999897
2019-09-01,Monthly,1916354.0407856598,1904683.40085666,434259.9852956599,98197.41916466,336062.56613099994,1470423.4155610001,167115.612869,931443.6192719999,12600.290441000001,50.152076,142405.909254,216807.83164899997,11670.639928999823
2019-10-01,Monthly,1934741.92143186,1922422.5351928598,435746.97704486,99074.08175786,336672.89528700005,1486675.558148,167489.81319899997,934395.1477719999,12010.380146000001,50.152076,152231.84440999996,220498.220545,12319.38623900013
2019-11-01,Monthly,1934899.6563546997,1923912.4268496998,438099.0815627,100313.9731717,337785.108391,1485813.3452869998,168329.389386,934531.753202,12316.978219,50.84875,153146.32299,217438.05273999998,10987.229504999937
2019-12-01,Monthly,1961553.8701222101,1950567.9311512099,452559.52102421003,100559.02246321001,352000.498561,1498008.410127,169974.81438999998,940550.672493,14270.223716,50.84875,157586.46901499998,215575.381763,10985.938971000258
2020-01-01,Monthly,1961429.71595584,1950873.0437788398,449232.11012884,105091.49107084,344140.61905800004,1501640.9336499998,172797.008814,947179.9607889999,14366.614383,50.84875,155502.450791,211744.050123,10556.672177000204
2020-02-01,Monthly,1958708.05118211,1948485.87988511,444417.80514811,103033.60513511,341384.200013,1504068.074737,175413.361981,948945.3342619999,12678.343321000002,51.92451,158745.73976199998,208233.37090100002,10222.171297000023
2020-03-01,Monthly,1968374.95385001,1960826.8679140105,461694.45955801004,103399.63206301,358294.82749500003,1499132.4083560004,182362.412691,934428.4479900001,10106.432130000003,51.92451,167765.31979100002,204417.87124399995,7548.0859359994065
2020-04-01,Monthly,1994098.5670254603,1986579.4977424596,466194.27446946,107870.49397246001,358323.780497,1520385.2232729997,192707.22502100002,933419.087839,11604.71434,101.775641,167094.079337,215458.34109500004,7519.069283000659
2020-05-01,Monthly,2006707.6205084599,2000159.7746184599,479419.78954046,113229.72657446,366190.062966,1520739.985078,196447.03341999996,935432.649101,12216.513304000002,101.775641,166629.612582,209912.40102999995,6547.845889999997
2020-06-01,Monthly,2019910.7950384598,2014091.4249574598,488233.2173224599,112654.67138846,375578.54593399994,1525858.2076349999,199549.68444500002,936117.8755969999,11801.478647,101.365951,164155.37086799997,214132.43212699998,5819.37008100003
2020-07-01,Monthly,2029667.9816957603,2024041.57963676,497168.94691676006,115509.47331376,381659.47360300005,1526872.63272,203253.545032,927098.4859239999,11195.837122000003,101.365951,163356.91702300002,221866.481668,5626.402059000218
2020-08-01,Monthly,2031377.14542476,2026995.31272976,502304.03211076,115537.96493275999,386766.067178,1524691.280619,202819.489561,928256.692178,10468.236737000001,101.365951,171060.56829400003,211984.92789800002,4381.832694999874
2020-09-01,Monthly,2038661.56848101,2033284.5467340099,513225.72411901,115127.28221701,398098.441902,1520058.822615,206825.43343099998,926846.813372,10266.879897,101.365951,158434.22589200002,217584.10407199996,5377.02174700005
2020-10-01,Monthly,2036415.85328786,2030760.7493388602,519417.46714086004,117065.05111386,402352.41602700006,1511343.282198,210322.78496,916432.971283,10280.438267,53.465526,154144.62311200003,220108.99904999998,5655.103948999895
2020-11-01,Monthly,2035491.71509327,2031849.1179412701,525825.20153627,117104.56236127,408720.639175,1506023.916405,211692.110113,917209.7314219999,10487.120119000001,53.465526,154535.214026,212046.27519899997,3642.5971519998275
2020-12-01,Monthly,2040993.8956126098,2037481.0781576098,523662.89473661,118380.79660361,405282.098133,1513818.1834209997,212340.65829,912592.996212,9532.5861,53.465526,161413.49332399995,217884.98396900002,3512.8174550000113
2021-01-01,Monthly,2045652.13719402,2043093.47489202,535211.2944170199,123007.50800301998,412203.786414,1507882.180475,218820.028001,909768.665008,8824.454318999999,53.465526,159817.51995000002,210598.04767099998,2558.6623019999824
2021-02-01,Monthly,2058351.8305820203,2055196.26331302,541124.75379102,127074.55088702,414050.202904,1514071.509522,223178.04048,909480.9816990001,8768.706575,53.465526,166223.449836,206366.86540599997,3155.5672690002248
2021-03-01,Monthly,2088401.61568222,2083780.52781322,549566.7177892202,126815.63757821999,422751.0802110001,1534213.8100239998,227865.21995300002,909201.2360569999,3135.034296,51.242991,179385.575692,214575.501035,4621.0878690001555
2021-04-01,Monthly,2078978.51204807,2073628.23774007,551531.09767007,128016.41626807001,423514.681402,1522097.1400700002,229924.41262100002,905951.176608,3949.329384,51.242991,173203.312474,209017.66599200002,5350.274307999993
2021-05-01,Monthly,2082749.62416402,2076555.3219060202,551624.1398690201,129997.36869701999,421626.77117200004,1524931.182037,230996.838181,903590.08387,3835.9531480000005,51.254325,175587.371557,210869.68095600003,6194.302257999778
2021-06-01,Monthly,2087879.4582500698,2082273.19610507,547706.69414307,129664.13945807001,418042.55468500004,1534566.501962,235592.395093,903174.946657,3750.804494,46.79624,176184.727771,215816.831707,5606.262144999811
2021-07-01,Monthly,2106362.07319396,2100134.8085819595,550824.87912996,131385.45483396,419439.424296,1549309.9294519997,236969.94696,909104.9973029998,3482.937297,46.801725,187198.45229300004,212506.793874,6227.264612000436
2021-08-01,Monthly,2104909.82914361,2098883.9864876103,551831.4517726101,132261.68831060998,419569.76346200006,1547052.534715,237502.985276,899578.304999,3488.9288959999994,46.799789999999994,192353.961914,214081.55384000004,6025.842655999586
2021-09-01,Monthly,2133618.86653394,2127284.9990309402,562955.70050194,133979.15058694,428976.54991500004,1564329.298529,241620.05388700002,905755.714204,3955.5342230000006,47.065932,187818.232439,225132.697844,6333.867502999958
