date,frequency,initial_public_offers,rights_issues,restricted_offer_for_sale,special_issues,preference_shares,warrants,new_issues_of_shares_war_rants,straight_bonds,bonds_with_war_rants,conver_tible_bonds,islamic_bonds,asset_backed_bonds,medium_term_notes,bon_cagamas_bonds,new_issues_of_corporate_bond_and_or_sukuk,corporate_bond_and_or_sukuk,redemptions_bon_cagamas_bonds,net_issues_of_corporate_bond_and_or_sukuk,net_funds_raised_by_the_private_sector
2014-06-01,Monthly,2072.81895,2170.51030876,0.0,0.0,0.0,0.0,4243.32925876,512.0,0.0,0.0,0.0,0.0,5519.1265,0.0,6031.1265,2572.59385957,0.0,3458.5326404300004,7701.86189919
2014-07-01,Monthly,222.51799999999997,5054.775821800001,0.0,0.0,0.0,0.0,5277.293821800001,400.0,0.0,0.0,462.91958000000005,0.0,8085.2300000000005,0.0,8948.149580000001,5126.36512,0.0,3821.7844600000008,9099.0782818
2014-08-01,Monthly,750.0,485.46148804000006,0.0,0.0,0.0,0.0,1235.46148804,201.0,0.0,0.0,0.0,0.0,3929.75,0.0,4130.75,3007.985271440001,0.0,1122.7647285599992,2358.226216599999
2014-09-01,Monthly,0.0,2319.2329586,0.0,0.0,0.0,0.0,2319.2329586,3500.0,0.0,144.57,0.0,0.0,8135.4985271900005,0.0,11780.06852719,10547.61,0.0,1232.4585271899996,3551.6914857899997
2014-10-01,Monthly,0.0,123.65307666000001,0.0,0.0,0.0,0.0,123.65307666000001,50.0,0.0,0.0,0.0,0.0,4005.89,0.0,4055.89,2616.48001,0.0,1439.4099899999997,1563.0630666599995
2014-11-01,Monthly,73.24900000000001,415.31857988,0.0,0.0,0.0,0.0,488.56757988000004,167.42179,0.0,35.3,100.0,0.0,6928.6982,0.0,7231.419989999999,3960.39770216,0.0,3271.0222878399995,3759.5898677199993
2014-12-01,Monthly,150.671462,194.4124205,0.0,0.0,0.0,0.0,345.08388249999996,1048.875744,0.0,0.0,1291.2062123399996,0.0,7955.202799999999,0.0,10295.28475634,4801.21036919,0.0,5494.074387149999,5839.158269649999
2015-01-01,Annual,4350.4968212,13551.63317247,0.0,0.0,0.0,16.5,17918.62999367,13361.859443,0.0,0.0,2996.1610792,0.0,69280.99271247,0.0,85639.01323467001,40763.96419804,0.0,44875.049036630015,62793.679030300016
2015-01-01,Monthly,0.0,1198.5235883999999,0.0,0.0,0.0,0.0,1198.5235883999999,0.0,0.0,0.0,0.0,0.0,1964.5,0.0,1964.5,2286.23,0.0,-321.73,876.7935883999999
2015-02-01,Monthly,0.0,1358.69896812,0.0,0.0,0.0,0.0,1358.69896812,0.0,0.0,0.0,125.0,0.0,1140.5,0.0,1265.5,1655.97,0.0,-390.47,968.22896812
2015-03-01,Monthly,0.0,2128.08746746,0.0,0.0,0.0,0.0,2128.08746746,497.33,0.0,0.0,1740.0,0.0,5971.407999999999,0.0,8208.738,3881.7414360000002,0.0,4326.996563999999,6455.084031459999
